FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CIVPART,"Labor Force Participation Rate, Percent, yearly, Seasonally Adjusted"
,
Frequency: yearly,
observation_date,CIVPART yearly average
1948,58.8
1949,59.0
1950,59.2
1951,59.3
1952,59.1
1953,58.9
1954,58.8
1955,59.2
1956,60.0
1957,59.6
1958,59.5
1959,59.3
1960,59.4
1961,59.3
1962,58.8
1963,58.7
1964,58.7
1965,58.8
1966,59.2
1967,59.6
1968,59.6
1969,60.1
1970,60.4
1971,60.2
1972,60.4
1974,61.3
1975,61.2
1976,61.6
1977,62.2
1978,63.2
1979,63.7
1980,63.8
1981,63.9
1982,64.0
1983,64.0
1984,64.4
1985,64.8
1986,65.2
1987,65.6
1988,65.9
1989,66.4
1990,66.5
1991,66.2
1992,66.4
1993,66.3
1994,66.6
1995,66.6
1996,66.8
1997,67.1
1998,67.1
1999,67.1
2000,67.1
2001,66.8
2002,66.6
2003,66.2
2004,66.0
2005,66.1
2006,66.2
2007,66.0
2008,66.0
2009,65.3
2010,64.7
2011,64.1
2012,63.7
2013,63.2
2014,62.9
2015,62.6
2016,62.8
2017,62.8
2018,62.9
2019,63.1
2020,61.6
2021,61.7
2022,62.3
2023,62.6
2024,62.6
